"韦恩·E·迈耶号","DDG108","阿利·伯克级IIA型","驱逐舰","2009年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"贾森·邓汉号","DDG109","阿利·伯克级IIA型","驱逐舰","2010年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"威廉·P·劳伦斯号","DDG110","阿利·伯克级IIA型","驱逐舰","2011年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"斯普鲁恩斯号","DDG111","阿利·伯克级IIA型","驱逐舰","2011年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"迈克尔·墨菲号","DDG112","阿利·伯克级IIA型","驱逐舰","2012年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"约翰·芬号","DDG113","阿利·伯克级IIA型","驱逐舰","2016年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"拉夫·詹森号","DDG114","阿利·伯克级IIA型","驱逐舰","","舾装","155.3","20.4","6.3","燃气动力","4200","31","9238"
"拉斐尔·比拉达号","DDG115","阿利·伯克级IIA型","驱逐舰","2017年","服役","155.3","20.4","6.3","燃气动力","4200","31","9238"
"汤马士·哈德拿号","DDG116","阿利·伯克级IIA型","驱逐舰","","舾装","155.3","20.4","6.3","燃气动力","4200","31","9238"
"保罗·伊格内修斯号","DDG117","阿利·伯克级IIA型","驱逐舰","","舾装","155.3","20.4","6.3","燃气动力","4200","31","9238"
"阿利·伯克号","DDG51","阿利·伯克级I型","驱逐舰","1991年","服役","155.3","20.4","6.3","燃气动力","4200","31","8315"
"巴里号","DDG52","阿利·伯克级I型","驱逐舰","1992年","服役","155.3","20.4","6.3","燃气动力","4200","31","8315"
"约翰·保罗·琼斯号","DDG53","阿利·伯克级I型","驱逐舰","1993年","服役","155.3","20.4","6.3","燃气动力","4200","31","8315"
"柯蒂斯·威尔伯号","DDG54","阿利·伯克级I型","驱逐舰","1994年","服役","155.3","20.4","6.3","燃气动力","4200","31","8315"
"斯托特号","DDG55","阿利·伯克级I型","驱逐舰","1994年","服役","155.3","20.4","6.3","燃气动力","4200","31","8315"
"约翰·麦凯恩号","DDG56","阿利·伯克级I型","驱逐舰","1994年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"米切尔号","DDG57","阿利·伯克级I型","驱逐舰","1994年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"拉布恩号","DDG58","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"拉塞尔号","DDG59","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"保罗·汉密尔顿号","DDG60","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"拉梅奇号","DDG61","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"菲茨杰拉德号","DDG62","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"史塔森号","DDG63","阿利·伯克级I型","驱逐舰","1995年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"卡尼号","DDG64","阿利·伯克级I型","驱逐舰","1996年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"本福尔德号","DDG65","阿利·伯克级I型","驱逐舰","1996年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
"冈萨雷斯号","DDG66","阿利·伯克级I型","驱逐舰","1996年","服役","155.3","20.4","6.3","燃气动力","4200","31","8850"
