"本福尔德号","DDG65","SH-60B反潜直升机","","","","","","",""
"冈萨雷斯号","DDG66","SH-60B反潜直升机","","","","","","",""
"科尔号","DDG67","SH-60B反潜直升机","","","","","","",""
"沙利文号","DDG68","SH-60B反潜直升机","","","","","","",""
"米利厄斯号","DDG69","SH-60B反潜直升机","","","","","","",""
"霍珀号","DDG70","SH-60B反潜直升机","","","","","","",""
"罗斯号","DDG71","SH-60B反潜直升机","","","","","","",""
"马汉号","DDG72","SH-60B反潜直升机","","","","","","",""
"迪凯特号","DDG73","SH-60B反潜直升机","","","","","","",""
"麦克福尔号","DDG74","SH-60B反潜直升机","","","","","","",""
"唐纳德·库克号","DDG75","SH-60B反潜直升机","","","","","","",""
"希金斯号","DDG76","SH-60B反潜直升机","","","","","","",""
"奥凯恩号","DDG77","SH-60B反潜直升机","","","","","","",""
"波特号","DDG78","SH-60B反潜直升机","","","","","","",""
"奥斯卡·奥斯汀号","DDG79","SH-60B反潜直升机","","","","","","",""
"罗斯福号","DDG80","SH-60B反潜直升机","","","","","","",""
"温斯顿·丘吉尔号","DDG81","SH-60B反潜直升机","","","","","","",""
"拉森号","DDG82","SH-60B反潜直升机","","","","","","",""
"霍华德号","DDG83","SH-60B反潜直升机","","","","","","",""
"巴尔克利号","DDG84","SH-60B反潜直升机","","","","","","",""
"麦坎贝尔号","DDG85","SH-60B反潜直升机","","","","","","",""
"肖普号","DDG86","SH-60B反潜直升机","","","","","","",""
"梅森号","DDG87","SH-60B反潜直升机","","","","","","",""
"普雷贝尔号","DDG88","SH-60B反潜直升机","","","","","","",""
"马斯廷号","DDG89","SH-60B反潜直升机","","","","","","",""
"查菲号","DDG90","SH-60B反潜直升机","","","","","","",""
"平克尼号","DDG91","SH-60B反潜直升机","","","","","","",""
"莫姆森号","DDG92","SH-60B反潜直升机","","","","","","",""
"钟云号","DDG93","SH-60B反潜直升机","","","","","","",""
"尼采号","DDG94","SH-60B反潜直升机","","","","","","",""
"詹姆斯·威廉斯号","DDG95","SH-60B反潜直升机","","","","","","",""
"班布里奇号","DDG96","SH-60B反潜直升机","","","","","","",""
"哈尔西号","DDG97","SH-60B反潜直升机","","","","","","",""
"福里斯特·舍曼号","DDG98","SH-60B反潜直升机","","","","","","",""
"法拉格特号","DDG99","SH-60B反潜直升机","","","","","","",""
"自由号","LCS1","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"加布里埃尔吉福兹号","LCS10","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"苏城号","LCS11","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"奥马哈号","LCS12","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"威奇托号","LCS13","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"曼切斯特号","LCS14","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"比林斯号","LCS15","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"塔尔萨号","LCS16","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"印第安纳波利斯号","LCS17","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“斯巴达”无人驾驶水面航行器","","","",""
"查尔斯顿号","LCS18","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"独立号","LCS2","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"辛辛那提号","LCS20","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
"堪萨斯城号","LCS22","MH-60R反潜直升机","MH-60S直升机","MQ-8火力侦察兵无人机","“翠鸟II”型武装无人机","","","",""
